yearID,franchid_1,franchid_2,abs_difference,W1,W2,L1,L2
1877,ATL,ATL,0,42,42,18,18
1877,ATL,CHC,16,42,26,18,33
1877,ATL,CNR,27,42,15,18,42
1877,ATL,HAR,11,42,31,18,27
1877,ATL,LGR,7,42,35,18,25
1877,ATL,SBS,14,42,28,18,32
1877,CHC,ATL,16,26,42,33,18
1877,CHC,CHC,0,26,26,33,33
1877,CHC,CNR,11,26,15,33,42
1877,CHC,HAR,5,26,31,33,27
1877,CHC,LGR,9,26,35,33,25
1877,CHC,SBS,2,26,28,33,32
1877,CNR,ATL,27,15,42,42,18
1877,CNR,CHC,11,15,26,42,33
1877,CNR,CNR,0,15,15,42,42
1877,CNR,HAR,16,15,31,42,27
1877,CNR,LGR,20,15,35,42,25
1877,CNR,SBS,13,15,28,42,32
1877,HAR,ATL,11,31,42,27,18
1877,HAR,CHC,5,31,26,27,33
1877,HAR,CNR,16,31,15,27,42
1877,HAR,HAR,0,31,31,27,27
1877,HAR,LGR,4,31,35,27,25
1877,HAR,SBS,3,31,28,27,32
1877,LGR,ATL,7,35,42,25,18
1877,LGR,CHC,9,35,26,25,33
1877,LGR,CNR,20,35,15,25,42
1877,LGR,HAR,4,35,31,25,27
1877,LGR,LGR,0,35,35,25,25
1877,LGR,SBS,7,35,28,25,32
1877,SBS,ATL,14,28,42,32,18
1877,SBS,CHC,2,28,26,32,33
1877,SBS,CNR,13,28,15,32,42
1877,SBS,HAR,3,28,31,32,27
1877,SBS,LGR,7,28,35,32,25
1877,SBS,SBS,0,28,28,32,32
1878,ATL,ATL,0,41,41,19,19
1878,ATL,CHC,11,41,30,19,30
1878,ATL,CNR,4,41,37,19,23
1878,ATL,IBL,17,41,24,19,36
1878,ATL,MLG,26,41,15,19,45
1878,ATL,PRO,8,41,33,19,27
1878,CHC,ATL,11,30,41,30,19
1878,CHC,CHC,0,30,30,30,30
1878,CHC,CNR,7,30,37,30,23
1878,CHC,IBL,6,30,24,30,36
1878,CHC,MLG,15,30,15,30,45
1878,CHC,PRO,3,30,33,30,27
1878,CNR,ATL,4,37,41,23,19
1878,CNR,CHC,7,37,30,23,30
1878,CNR,CNR,0,37,37,23,23
1878,CNR,IBL,13,37,24,23,36
1878,CNR,MLG,22,37,15,23,45
1878,CNR,PRO,4,37,33,23,27
1878,IBL,ATL,17,24,41,36,19
1878,IBL,CHC,6,24,30,36,30
1878,IBL,CNR,13,24,37,36,23
1878,IBL,IBL,0,24,24,36,36
1878,IBL,MLG,9,24,15,36,45
1878,IBL,PRO,9,24,33,36,27
1878,MLG,ATL,26,15,41,45,19
1878,MLG,CHC,15,15,30,45,30
1878,MLG,CNR,22,15,37,45,23
1878,MLG,IBL,9,15,24,45,36
1878,MLG,MLG,0,15,15,45,45
1878,MLG,PRO,18,15,33,45,27
1878,PRO,ATL,8,33,41,27,19
1878,PRO,CHC,3,33,30,27,30
1878,PRO,CNR,4,33,37,27,23
1878,PRO,IBL,9,33,24,27,36
1878,PRO,MLG,18,33,15,27,45
1878,PRO,PRO,0,33,33,27,27
1879,BUF,BUF,0,46,46,32,32
1879,BUF,ATL,8,46,54,32,30
1879,BUF,CHC,0,46,46,32,33
1879,BUF,CBL,19,46,27,32,55
1879,BUF,CNR,3,46,43,32,37
1879,BUF,PRO,13,46,59,32,25
1879,BUF,SYR,24,46,22,32,48
1879,BUF,TRT,27,46,19,32,56
1879,ATL,BUF,8,54,46,30,32
1879,ATL,ATL,0,54,54,30,30
